,WEEK #,COCKTAIL
Absinthe,107,Latin Quarter
Absinthe,3,Corpse Reviver No. 2
Absinthe,26, Improved Whiskey Cocktail
Absinthe,33,Rattlesnake [guest post by /u/GWCad]
Absinthe,40,Zombie [guest post by /u/bitcheslovebanjos]
Absinthe,53,Astor Hotel Special [guest post by /u/bitcheslovebanjos]
Absinthe,61,Sazerac
Absinthe,63,Remember the Maine [guest post by /u/bitcheslovebanjos]
Absinthe,73,Martini [guest post by /u/highbrowalcoholic]
Absinthe,106,Cocktail a la Lousiane
Absinthe,110,Chrysanthemum
Allspice Dram,7,Lion’s Tail
Allspice Dram,83,Tiki Edition - Three Dots & A Dash
Allspice Dram,88,Tiki Edition – Navy Grog
Allspice Dram,97,Flannel Shirt
Amaretto,44,Godfather
Amaretto,55,Amaretto Sour
Amaretto,112,Old Ironsides
Amaro CioCiaro,108,Paper Plane
Amaro Nonino Quintessentia,108,Paper Plane
Amaro Nonino Quintessentia,115,Sweet and Vicious
Amer Picon,99,Brooklyn [guest post by /u/bitcheslovebanjos]
Aperol,11,Negroni
Aperol,19,Intro to Aperol
Aperol,31,Shaddock
Aperol,78,Melon Stand
Aperol,108,Paper Plane
Apple,115,Sweet and Vicious
Applejack,13,Jack Rose
Applejack,35,Corpse Reviver No. 1
Applejack,43,Diamondback
Applejack,49,Eggnog
Applejack,57,Bronco Buster
Applejack,66,Deauville
Applejack,68,Jake Barnes
Applejack,94,Savoy Tango
Applejack,95,Royal Smile
Apricot Liqueur,84,Tiki Edition – Hotel Nacional Special
Averna,97,Flannel Shirt
Averna,100,Black Manhattan
Bénédictine,1,Bobby Burns
Bénédictine,4,Montgomery Smith
Bénédictine,10,Vieux Carré
Bénédictine,21,Monte Carlo
Bénédictine,51,Widow’s Kiss
Bénédictine,58,Between the Sheets [guest post by /u/GWCad]
Bénédictine,64,Brass Rail
Bénédictine,70,Singapore Sling
Bénédictine,106,Cocktail a la Lousiane
Bénédictine,110,Chrysanthemum
Bénédictine,121,Little Miss Annabelle
Bitters [Angostura],2,The Manhattan
Bitters [Angostura],7,Lion’s Tail
Bitters [Angostura],9,Greenpoint [guest post by /u/wallunit]
Bitters [Angostura],10,Vieux Carré
Bitters [Angostura],14,Pegu Club [guest post by /u/ClamydiaDellArte]
Bitters [Angostura],15,Martinez
Bitters [Angostura],19,Intro to Aperol
Bitters [Angostura],21,Monte Carlo
Bitters [Angostura],25,Angostura Sour [guest post by /u/montreal-gloryhole]
Bitters [Angostura],26, Improved Whiskey Cocktail
Bitters [Angostura],28,Mai Tai
Bitters [Angostura],30,Southside and Southern Exposure
Bitters [Angostura],35,Corpse Reviver No. 1
Bitters [Angostura],36,Armistice
Bitters [Angostura],37,Japanese
Bitters [Angostura],40,Zombie [guest post by /u/bitcheslovebanjos]
Bitters [Angostura],42,Delmonico
Bitters [Angostura],44,Godfather
Bitters [Angostura],45,Harvest Moon
Bitters [Angostura],51,Widow’s Kiss
Bitters [Angostura],52,Old-Fashioned
Bitters [Angostura],61,Sazerac
Bitters [Angostura],62,Champs Élysées
Bitters [Angostura],64,Brass Rail
Bitters [Angostura],65,Bronx & Income Tax
Bitters [Angostura],68,Jake Barnes
Bitters [Angostura],69,Mint Julep [guest post by /u/GWCad]
Bitters [Angostura],70,Singapore Sling
Bitters [Angostura],76,Gimlet
Bitters [Angostura],80,Mojito
Bitters [Angostura],84,Tiki Edition – Hotel Nacional Special
Bitters [Angostura],88,Tiki Edition – Navy Grog
Bitters [Angostura],96,Toronto [guest post by /u/_chrono]
Bitters [Angostura],97,Flannel Shirt
Bitters [Angostura],98,Harvard
Bitters [Angostura],101,Rob Roy
Bitters [Angostura],106,Cocktail a la Lousiane
Bitters [Angostura],107,Latin Quarter
Bitters [Angostura],104a,Vintage Manhattan
Bitters [Angostura],75b,Rum Manhattan
Bitters [Angostura],87a,Tiki Edition – Queen’s Park Swizzle
Bitters [Angostura],87b,Tiki Edition – 151 Swizzle
Bitters [Angostura],114,Conference
Bitters [Bitter Truth Creole],107,Latin Quarter
Bitters [Bittermen's Xocolatl Mole],107,Latin Quarter
Bitters [Bittermen's Xocolatl Mole],114,Conference
Bitters [Bogart's],37,Japanese
